"filename", "language", "JSON with Comments", "TypeScript", "Python", "Markdown", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\damage.js", "JavaScript", 0, 0, 0, 0, 0, 62, 0, 0, 5, 0, 67
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\damageType.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 1, 0, 9
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\defaultDamageBehaviors.js", "JavaScript", 0, 0, 0, 0, 0, 75, 0, 0, 2, 0, 77
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\defaultMovingBehaviors.js", "JavaScript", 0, 0, 0, 0, 0, 129, 0, 0, 8, 0, 137
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\defaultPieceConfig.js", "JavaScript", 0, 0, 0, 0, 0, 31, 0, 0, 1, 0, 32
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\globalValues.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\multiplayer.js", "JavaScript", 0, 0, 0, 0, 0, 120, 0, 0, 8, 0, 128
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\piece.js", "JavaScript", 0, 0, 0, 0, 0, 168, 0, 0, 7, 0, 175
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\position.js", "JavaScript", 0, 0, 0, 0, 0, 125, 0, 0, 27, 0, 152
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\positionedItem.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 0, 5
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\round.js", "JavaScript", 0, 0, 0, 0, 0, 9, 0, 0, 1, 0, 10
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\selection.js", "JavaScript", 0, 0, 0, 0, 0, 195, 0, 0, 16, 0, 211
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\team.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, 16
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\dist\vector.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 1, 0, 42
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\globalValues.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\index.html", "HTML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\multiplayer.html", "HTML", 0, 0, 0, 0, 149, 0, 0, 0, 3, 6, 158
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\multiplayer.ts", "TypeScript", 0, 130, 0, 0, 0, 0, 0, 0, 7, 14, 151
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\piece.ts", "TypeScript", 0, 157, 0, 0, 0, 0, 0, 0, 6, 23, 186
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\position.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 26, 23, 173
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\positionedItem.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\readme.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\round.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\selection.ts", "TypeScript", 0, 190, 0, 0, 0, 0, 0, 0, 15, 31, 236
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\server.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\style.css", "CSS", 0, 0, 0, 0, 0, 0, 129, 0, 2, 19, 150
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\team.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\tsconfig.json", "JSON with Comments", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\norma\Documents\normal-pcer.github.io\QianningChineseChess\vector.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 14, 57
"Total", "-", 12, 1075, 13, 81, 178, 1028, 129, 1, 153, 221, 2891
